,desc,perc,selectionID,sport,temp,time,topBottom,win
17,CONCACAF Champions League - Group D (Central FC @ LA Galaxy): What will be the match result?,86.3,unselectable,Soccer,Warmer,2015-08-06 22:08:44,Bottom,Yes
18,WTA Stanford - 2nd Rd (Varvara Lepchenko v. #1 Caroline Wozniacki): What will be the match result?,98.6,unselectable,Tennis,Hot,2015-08-06 22:10:00,Top,No
0,"WGC-Bridgestone - 2nd Rd (Akron, OH): Which will OCCUR FIRST for Jordan Spieth (USA) on Holes 10-14?",90.9,unselectable,Golf,Hot,2015-08-07 10:25:00,Bottom,Yes
1,Russian Premier League: What will be the match result?,82.2,unselectable,Soccer,Warmer,2015-08-07 12:00:00,Bottom,Yes
2,"WGC-Bridgestone - 2nd Rd (Akron, OH): What will be J. Rose and P. Mickelson's COMBINED SCORE on Holes 17-18?",64.7,unselectable,Golf,Warmer,2015-08-07 12:05:00,Bottom,Yes
3,French Ligue 1: What will be the match result?,94.1,unselectable,Soccer,Hot,2015-08-07 14:30:00,Top,No
4,MLB: Who will WIN this matchup?,82.6,unselectable,MLB,Warmer,2015-08-07 16:05:00,Bottom,Yes
5,WTA Stanford - Quarterfinal: Who will WIN this matchup?,93.1,unselectable,Tennis,Hot,2015-08-07 16:37:18,Bottom,Yes
6,WNBA: Who will WIN this matchup?,74.3,unselectable,WNBA,Cold,2015-08-07 19:00:00,Top,No
7,MLB: Who will WIN this matchup?,87.2,unselectable,MLB,Warm,2015-08-07 19:05:00,Top,No
8,MLB: Who will WIN this matchup?,50.7,unselectable,MLB,Cold,2015-08-07 19:05:00,Bottom,Yes
9,MLB (Dodgers @ Pirates): Will the Pirates LEAD at ANY POINT during the 1st through 4th Inning?,69.9,unselectable,MLB,Warm,2015-08-07 19:06:00,Bottom,Yes
10,MLB: Who will WIN this matchup?,97.4,unselectable,MLB,Warm,2015-08-07 19:10:00,Top,No
11,MLB: Who will WIN this matchup?,65.2,unselectable,MLB,Cold,2015-08-07 19:10:00,Top,No
12,Canadian Football League: Who will WIN this matchup?,93.6,unselectable,CFL,Warm,2015-08-07 19:35:00,Top,No
13,MLB: Who will WIN this matchup?,79.0,unselectable,MLB,Cold,2015-08-07 19:35:00,Top,No
14,MLB: Who will WIN this matchup?,98.5,unselectable,MLB,Hot,2015-08-07 20:10:00,Top,No
15,MLB (Dodgers @ Pirates): How many RUNS will be SCORED during the 6th through 7th Inning?,77.8,unselectable,MLB,Hot,2015-08-07 20:54:04,Top,No
16,WNBA: Who will WIN this matchup?,64.2,unselectable,WNBA,Warm,2015-08-07 22:00:00,Bottom,Yes
17,MLB: Who will WIN this matchup?,83.0,unselectable,MLB,Warm,2015-08-07 22:05:00,Top,No
18,MLB: Who will WIN this matchup?,91.8,unselectable,MLB,Warm,2015-08-07 22:05:00,Bottom,Yes
19,WTA Stanford - Quarterfinal: Who will WIN this matchup?,50.1,unselectable,Tennis,Warm,2015-08-07 22:09:41,Bottom,Yes
20,MLB: Who will WIN this matchup?,82.4,unselectable,MLB,Warm,2015-08-07 22:10:00,Top,No
21,Major League Soccer: What will be the match result?,88.1,unselectable,Soccer,Hot,2015-08-07 23:07:00,Bottom,Yes
0,English Premier League: What will be the match result?,85.9,unselectable,Soccer,Hot,2015-08-08 07:45:00,Bottom,Yes
1,English Premier League (Watford @ Everton): Will a GOAL be SCORED in the 75th Minute or Later?,84.6,unselectable,Soccer,Hot,2015-08-08 11:30:59,Bottom,Yes
2,English Premier League: What will be the match result?,57.4,unselectable,Soccer,Warmer,2015-08-08 12:30:00,Top,No
3,MLB: Who will WIN this matchup?,82.9,unselectable,MLB,Warmer,2015-08-08 13:05:00,Top,No
4,"PGA WGC-Bridgestone (Akron, OH): Will Jim Furyk be the LEADER (or co-leader) at the end of the 3rd Round?",92.9,unselectable,Golf,Warm,2015-08-08 14:05:00,Top,No
5,ATP Washington D.C. - Semifinal (#2 Kei Nishikori v. #3 Marin Cilic): What will be the match result?,92.7,unselectable,Tennis,Warmer,2015-08-08 14:40:00,Bottom,Yes
6,French Ligue 1: What will be the match result?,93.8,unselectable,Soccer,Warmer,2015-08-08 15:00:00,Top,No
